ParentId, Reputation, Votes
917612,1257,2
917679,119,1
920077,369,2
920920,1584,1
921391,509,2
921792,167,7
922606,4228,1
923806,689,1
924102,561,2
924211,470,2
925536,153,1
926180,550,3
926935,10621,1
927642,33797,2
928662,198,2
929600,1920,2
929975,6789,1
930594,1037,3
931466,83,2
931573,327,1
933118,698,1
933439,3777,3
935071,24578,2
935590,6434,3
935787,363,4
935958,1224,4
936226,4438,2
938230,329,1
938635,1037,4
940508,560,4
940572,404,5
941296,183,7
942267,1110,4
943216,259,4
943911,634,3
944031,251,3
944167,1103,9
944226,556,1
944763,218,3
944838,307,1
945898,157,2
946409,707,2
949259,346,6
949964,1645,3
950268,4228,2
950354,6325,2
950724,912,10
952229,642,1
953017,1004,3
953082,366,2
954085,184,1
954247,1281,9
954307,2613,2
954398,630,1
954846,509,2
955999,958,3
956166,3738,7
957337,1229,7
958350,4438,6
958754,657,2
959209,176,8
959797,503,3
961446,143,1
961973,2353,1
962174,671,1
962231,1253,1
962436,3019,2
962475,729,4
963594,190,3
963599,431,1
964535,2760,6
964945,367,1
965108,19738,2
966029,231,1
966933,3402,5
967781,131,1
967837,3001,1
968798,9026,3
969278,97485,5
969939,121,3
970017,344,2
972376,307,1
973073,2212,2
975590,3801,1
976357,202,2
976527,731,1
978187,1416,2
978932,4967,1
979200,343,1
979735,1279,1
980166,911,9
980928,313,4
981399,1305,5
981496,1067,1
982367,1891,6
982566,7250,3
982697,8634,1
982998,621,1
984263,16760,1
985338,1414,2
987283,462,3
987537,494,2
987886,6792,1
990141,1424,1
991343,237,5
991583,16077,2
992220,1374,2
993905,3097,2
994095,18613,2
994359,561,1
994950,426,2
996464,572,1
996506,587,1
999004,375,1
999123,8331,5
1002092,2968,1
1002185,2116,1
1002926,1214,1
1004442,1214,1
1005416,1087,1
1007493,5152,1
1008308,435,1
1008331,503,3
1009445,289,5
1009940,41106,1
1010339,10621,1
1011536,548,5
1011677,187,1
1012054,452,1
1015449,10086,2
1016112,8485,1
1017381,10491,1
1018704,7549,1
1019839,1392,8
1020798,1437,2
1021613,163,1
1021933,253,1
1021988,6749,12
1022803,2370,4
1022966,2532,3
1023413,121,2
1023955,1272,3
1025171,25333,8
1025390,3236,9
1026513,503,4
1026945,1226,12
1027658,1645,1
1028313,5766,2
1028719,163,1
1031289,558,1
1031357,4628,1
1031503,1103,3
1031861,2305,1
1032119,1406,1
1033524,3271,1
1033580,347,1
1033703,4593,2
1034408,41491,1
1036279,3485,1
1036782,753,1
1036864,1341,2
1036884,1860,1
1037248,1529,4
1037478,9465,1
1040269,19016,2
1041373,137,6
1042868,6037,1
1043027,385,2
1043246,522,3
1044215,371,2
1045827,9652,1
1046234,1099,1
1046577,1014,6
1047505,408,1
1047663,2919,4
1047947,363,2
1048401,1065,1
1049379,327,1
1049674,129,2
1049682,52934,1
1051843,481,1
1053855,163,1
1054057,9652,1
1054285,279,2
1054476,119,1
1058258,541,1
1058881,22499,6
1059826,269,3
1060137,1103,2
1062129,2140,4
1062690,911,2
1063255,120,5
1063857,180,4
1064196,485,1
1064473,1467,1
1064981,1169,1
1066172,161,1
1066450,556,2
1067409,4599,2
1067730,41106,2
1068165,616,1
1068752,697,2
1070158,8634,3
1070486,781,2
1070572,14673,1
1070882,2474,5
1071370,1014,1
1071894,3704,3
1071904,1374,1
1072119,2095,2
1072375,481,5
1072581,83,4
1074200,253,1
1074729,3074,2
1075048,422,4
1075387,462,1
1075423,13674,2
1076881,185,2
1077580,135,11
1077609,455,1
1077649,639,1
1077777,436,1
1077959,135,3
1078964,1122,2
1079023,159,2
1080202,319,3
1080327,7583,1
1081085,694,1
1081789,2210,2
1082460,13674,3
1083391,978,5
1083702,435,2
1084392,1760,2
1084408,10224,3
1084978,347,2
1085637,3463,12
1086127,9709,2
1086994,455,5
1088010,606,1
1089004,3827,2
1089054,383,1
1089662,179,5
1091518,231,1
1093426,462,3
1093710,1087,1
1094147,118242,1
1094297,2584,1
1094533,2301,3
1095352,85,3
1096300,347,2
1096477,282,2
1097645,379,1
1097936,62439,4
1098379,149,1
1098407,2370,1
1099954,8998,1
1100040,821,3
1100199,664,3
1101660,69004,2
1102134,346,3
1102516,632,1
1104477,3171,1
1106772,505,1
1108101,163,1
1109136,537,5
1110363,7250,7
1110705,592,2
1111692,6074,3
1111707,3444,5
