ParentId, Reputation, Votes
1396501,96,6
1396529,92,2
1397113,98,4
1397649,103,2
1398539,103,1
1399299,89,1
1400716,83,2
1400806,97,1
1401404,96,2
1402026,85,1
1402603,75,3
1402693,92,3
1402903,89,1
1402936,99,2
1403517,116,2
1404092,106,2
1404566,116,2
1406293,85,1
1409392,101,2
1409402,88,1
1410010,117,1
1411542,117,4
1411867,92,1
1413118,80,3
1415147,76,6
1415466,96,2
1415511,80,1
1416633,88,9
1417438,96,1
1417639,96,2
1417727,96,1
1417776,103,5
1417909,80,1
1418472,90,2
1418519,99,1
1419126,80,2
1420081,106,4
1420139,103,2
1420499,92,1
1420948,96,3
1421064,121,2
1421824,86,3
1422655,117,1
1424121,115,1
1424382,80,1
1424548,99,1
1424636,116,4
1425737,92,2
1427458,114,1
1427845,121,1
1428317,101,1
1428340,96,5
1432068,117,1
1432229,79,1
1433334,101,1
1433360,121,3
1433954,120,1
1434980,89,1
1436152,99,1
1437261,121,1
1437888,88,8
1437917,120,1
1438587,76,1
1439153,86,1
1439229,95,2
1439669,81,1
1439681,119,6
1439741,103,1
1442017,123,5
1442786,88,1
1443579,122,1
1443625,99,1
1444733,80,3
1445561,88,1
1445585,96,7
1446285,76,1
1447598,115,5
1448250,76,4
1448409,81,4
1448596,96,6
1451808,80,1
1452092,80,2
1452212,79,2
1453040,80,1
1453365,101,2
1453524,92,3
1454416,103,2
1455301,121,1
1455847,79,1
1456076,114,3
1456077,96,1
1457533,81,3
1457633,80,5
1458293,96,7
1458786,105,2
1458843,76,2
1460139,86,1
1460462,83,2
1460761,92,2
1461911,93,2
1461977,111,3
1463597,92,10
1464032,96,3
1465356,92,3
1465525,99,6
1467032,96,1
1467553,114,2
1468427,79,1
1468570,99,4
1468580,123,3
1469144,99,2
1469586,96,2
1470265,80,2
1471107,101,3
1472341,103,2
1473332,86,1
1473835,101,1
1474365,106,4
1474692,121,1
1476992,121,2
1477120,76,2
1477502,80,3
1478092,101,5
1479498,108,11
1479614,106,2
1481107,76,4
1481140,92,4
1481421,96,4
1482430,81,2
1482564,107,2
1483690,93,1
1483987,80,1
1485692,101,2
1488001,113,1
1491811,92,2
1492398,111,3
1492942,86,6
1493908,91,1
1495221,101,2
1495636,79,1
1495702,86,2
1496092,76,1
1497970,91,2
1498803,105,1
1500639,96,1
1501381,76,4
1502218,88,9
1503128,89,1
1503482,118,2
1504644,76,1
1504667,78,2
1505648,101,4
1506243,102,6
1506414,101,3
1506460,75,1
1506548,103,4
1507190,76,1
1509051,81,4
1510903,92,5
1511177,101,2
1512513,110,1
1512876,88,4
1513056,85,2
1514381,90,1
1514548,77,2
1514594,85,2
1514893,118,2
1515597,92,1
1515787,85,2
1516117,85,4
1516259,92,2
1516385,99,2
1517033,105,1
1517411,96,2
1517746,80,1
1517975,80,2
1518135,97,1
1520796,113,1
1520986,85,3
